date,MSTR,BTC
2023-04-27,31.86,29686.0
2023-04-28,32.84,29371.25
2023-05-01,30.75,27838.5
2023-05-02,32.8,28703.75
2023-05-03,30.43,28337.0
2023-05-04,31.22,28888.25
2023-05-05,32.67,28956.0
2023-05-08,29.47,27364.0
2023-05-09,30.34,27725.0
2023-05-10,31.51,27714.0
2023-05-11,28.74,26852.5
2023-05-12,27.1,26890.75
2023-05-15,28.25,27420.75
2023-05-16,27.34,26938.25
2023-05-17,29.06,27374.0
2023-05-18,28.76,26742.75
2023-05-19,28.83,26908.75
2023-05-22,29.41,26843.75
2023-05-23,28.93,27192.75
2023-05-24,28.44,26251.25
2023-05-25,28.1,26473.25
2023-05-26,28.51,27533.75
2023-05-30,29.93,27865.25
2023-05-31,30.16,27018.5
2023-06-01,29.99,26869.75
2023-06-02,30.21,27216.0
2023-06-05,27.64,25621.75
2023-06-06,29.88,27110.75
2023-06-07,29.08,26489.25
2023-06-08,29.09,26547.0
2023-06-09,28.23,26056.0
2023-06-12,27.77,25825.5
2023-06-13,28.38,25894.0
2023-06-14,28.29,25868.5
2023-06-15,27.79,25447.75
2023-06-16,29.34,26649.0
2023-06-20,31.34,27998.75
2023-06-21,33.13,30117.5
2023-06-22,32.72,30225.25
2023-06-23,32.91,30431.25
2023-06-26,30.57,30254.75
2023-06-27,32.49,30682.25
2023-06-28,32.56,30092.25
2023-06-29,34.02,30588.25
2023-06-30,34.24,30558.5
2023-07-03,37.78,31257.75
2023-07-05,37.81,30444.75
2023-07-06,37.66,30316.0
2023-07-07,38.07,30256.75
2023-07-10,40.77,30835.75
2023-07-11,41.23,30584.0
2023-07-12,41.35,30284.0
2023-07-13,46.18,31709.75
2023-07-14,45.89,30270.25
2023-07-17,44.99,29897.75
2023-07-18,44.58,29723.0
2023-07-19,45.31,30041.25
2023-07-20,44.08,29749.75
2023-07-21,43.67,30091.25
2023-07-24,43.09,29115.5
2023-07-25,43.68,29191.25
2023-07-26,44.35,29400.25
2023-07-27,42.62,29157.5
2023-07-28,43.46,29195.0
2023-07-31,43.79,29161.0
2023-08-01,43.5,29271.0
2023-08-02,40.73,29139.75
2023-08-03,38.99,29273.5
2023-08-04,37.7,29053.25
2023-08-07,37.08,29111.0
2023-08-08,38.95,29876.5
2023-08-09,37.78,29404.5
2023-08-10,37.8,29408.75
2023-08-11,38.43,29427.75
2023-08-14,38.88,29321.75
2023-08-15,37.62,29165.0
2023-08-16,36.97,29091.25
2023-08-17,34.68,27868.0
2023-08-18,32.86,26141.25
2023-08-21,33.52,26095.25
2023-08-22,32.95,25769.0
2023-08-23,34.64,26631.0
2023-08-24,33.66,26015.25
2023-08-25,33.61,26116.5
2023-08-28,34.44,25979.5
2023-08-29,38.15,27852.5
2023-08-30,37.17,27188.75
2023-08-31,35.75,26172.5
2023-09-01,35.15,26013.25
2023-09-05,34.93,25683.75
2023-09-06,35.07,25687.0
2023-09-07,35.31,25882.5
2023-09-08,35.63,25802.25
2023-09-11,34.27,25015.25
2023-09-12,34.78,26067.5
2023-09-13,34.18,26149.25
2023-09-14,34.64,26689.75
2023-09-15,34.08,26516.75
2023-09-18,34.06,26837.25
2023-09-19,33.93,27198.75
2023-09-20,33.35,26942.0
2023-09-21,32.61,26606.75
2023-09-22,32.28,26464.25
2023-09-25,32.76,26341.75
2023-09-26,31.73,26248.75
2023-09-27,31.56,26243.0
2023-09-28,32.89,27107.0
2023-09-29,32.83,27106.25
2023-10-02,32.95,27970.5
2023-10-03,31.13,27278.25
2023-10-04,32.04,27629.5
2023-10-05,32.34,27490.0
2023-10-06,34.06,27906.25
2023-10-09,34.05,27626.25
2023-10-10,34.05,27407.0
2023-10-11,33.46,26766.5
2023-10-12,32.36,26714.25
2023-10-13,31.82,27049.5
2023-10-16,32.58,28466.5
2023-10-17,33.54,28526.75
2023-10-18,32.91,28268.5
2023-10-19,34.24,28775.75
2023-10-20,34.8,29855.5
2023-10-23,37.75,31380.5
2023-10-24,42.49,33810.75
2023-10-25,43.32,34768.0
2023-10-26,41.35,34060.5
2023-10-27,40.68,34588.25
2023-10-30,42.02,34444.0
2023-10-31,42.34,34555.75
2023-11-01,42.67,34579.75
2023-11-02,45.36,34998.0
2023-11-03,45.4,35048.25
2023-11-06,45.96,35026.5
2023-11-07,47.36,35644.75
2023-11-08,47.45,35634.25
2023-11-09,49.41,36561.0
2023-11-10,50.92,37160.0
2023-11-13,50.49,36801.5
2023-11-14,48.0,35305.25
2023-11-15,50.6,37550.25
2023-11-16,48.91,35970.25
2023-11-17,48.62,36949.25
2023-11-20,50.85,37591.25
2023-11-21,49.3,36947.75
2023-11-22,50.79,37640.25
2023-11-24,52.02,37616.25
2023-11-27,49.54,36821.25
2023-11-28,50.59,38234.0
2023-11-29,50.71,37666.75
2023-11-30,49.83,37772.5
2023-12-01,52.77,39596.0
2023-12-04,56.32,41780.25
2023-12-05,57.75,43790.25
2023-12-06,56.89,43774.75
2023-12-07,57.11,43241.75
2023-12-08,59.94,43970.0
2023-12-11,55.58,40821.25
2023-12-12,55.83,41213.0
2023-12-13,58.6,42907.5
2023-12-14,58.24,42941.5
2023-12-15,57.04,42094.25
2023-12-18,57.19,41942.5
2023-12-19,57.13,42220.75
2023-12-20,57.35,43438.0
2023-12-21,58.2,43788.5
2023-12-22,61.92,43546.25
2023-12-26,60.39,42131.75
2023-12-27,67.07,43501.5
2023-12-28,66.79,42536.0
2023-12-29,63.16,42551.25
2024-01-02,68.52,44816.25
2024-01-03,63.11,42734.0
2024-01-04,65.58,44170.5
2024-01-05,63.11,44175.5
2024-01-08,59.8,46796.0
2024-01-09,57.73,46671.25
2024-01-10,56.57,46156.0
2024-01-11,53.62,46272.25
2024-01-12,48.55,42502.75
2024-01-16,48.21,43190.75
2024-01-17,49.9,42677.0
2024-01-18,48.66,40750.0
2024-01-19,48.1,41642.5
2024-01-22,47.02,40145.0
2024-01-23,45.02,39145.75
2024-01-24,45.1,39534.0
2024-01-25,45.78,39790.75
2024-01-26,49.45,41944.0
2024-01-29,51.38,43154.75
2024-01-30,51.95,43568.25
2024-01-31,50.12,42527.75
2024-02-01,50.35,42985.25
2024-02-02,50.01,42854.5
2024-02-05,49.06,42384.0
2024-02-06,49.8,43072.0
2024-02-07,50.8,44119.25
2024-02-08,58.78,45509.5
2024-02-09,64.63,48048.75
2024-02-12,71.75,50178.25
2024-02-13,68.6,49418.5
2024-02-14,76.99,51706.5
2024-02-15,71.8,51724.0
2024-02-16,69.96,51782.25
2024-02-20,70.5,51996.0
2024-02-21,67.28,50971.0
2024-02-22,71.32,51997.5
2024-02-23,68.74,51745.5
2024-02-26,79.65,54495.0
2024-02-27,87.18,57016.25
2024-02-28,96.3,60385.75
2024-02-29,102.28,62000.0
2024-03-01,107.94,62791.0
2024-03-04,133.4,67519.0
2024-03-05,105.1,61921.0
2024-03-06,124.62,67030.25
2024-03-07,130.0,67687.75
2024-03-08,142.56,69549.5
2024-03-11,148.42,72025.25
2024-03-12,159.33,71398.0
2024-03-13,176.62,73460.5
2024-03-14,167.69,69310.25
2024-03-15,178.24,68525.75
2024-03-18,150.28,66947.5
2024-03-19,141.75,64407.0
2024-03-20,154.65,65785.25
2024-03-21,159.93,65236.0
2024-03-22,152.3,65841.25
2024-03-25,185.6,71006.75
2024-03-26,187.7,69449.25
2024-03-27,191.92,68619.5
2024-03-28,170.46,70848.5
2024-04-01,163.67,69710.0
2024-04-02,157.88,66005.75
2024-04-03,160.61,65847.5
2024-04-04,161.54,68517.0
2024-04-05,143.9,69073.75
2024-04-08,151.3,71710.5
2024-04-09,144.1,69000.25
2024-04-10,156.6,70073.5
2024-04-11,155.18,70472.0
2024-04-12,147.96,64193.25
2024-04-15,133.59,63326.0
2024-04-16,125.4,62743.75
2024-04-17,118.8,61023.5
2024-04-18,120.82,63541.0
2024-04-19,117.41,64547.5
2024-04-22,132.4,66580.0
2024-04-23,133.86,66479.0
2024-04-24,126.57,63933.5
2024-04-25,124.04,64685.75
2024-04-26,128.24,63717.75
2024-04-29,129.3,62949.75
2024-04-30,106.5,59150.5
2024-05-01,102.83,56910.75
2024-05-02,112.94,59363.5
2024-05-03,122.3,63867.0
2024-05-06,126.88,63192.25
2024-05-07,125.75,63054.25
2024-05-08,123.31,62146.5
2024-05-09,126.36,62454.25
2024-05-10,118.05,61379.0
2024-05-13,124.6,63163.0
2024-05-14,129.76,61553.5
2024-05-15,150.35,65857.5
2024-05-16,144.0,65173.25
2024-05-17,158.45,66019.25
2024-05-20,172.72,70068.5
2024-05-21,165.54,69268.25
2024-05-22,164.7,69605.0
2024-05-23,154.41,67106.0
2024-05-24,168.48,68830.75
2024-05-28,167.54,68364.25
2024-05-29,161.87,67190.5
2024-05-30,154.1,68656.5
2024-05-31,152.45,67699.25
2024-06-03,162.74,69194.25
2024-06-04,163.88,70443.5
2024-06-05,169.47,71294.0
2024-06-06,165.66,70506.5
2024-06-07,159.62,69717.75
2024-06-10,159.99,69463.25
2024-06-11,155.55,67387.75
2024-06-12,160.37,67529.0
2024-06-13,148.39,66593.25
2024-06-14,149.55,66502.25
2024-06-17,150.73,66607.0
2024-06-18,146.94,64400.75
2024-06-20,146.54,64983.75
2024-06-21,148.38,64087.5
2024-06-24,137.22,59283.5
2024-06-25,149.57,61985.5
2024-06-26,145.77,60956.5
2024-06-27,152.54,61357.5
2024-06-28,137.75,61932.5
2024-07-01,136.6,63197.5
2024-07-02,132.02,61808.75
2024-07-03,130.21,59624.25
2024-07-05,128.17,57140.5
2024-07-08,129.06,56498.5
2024-07-09,130.18,57863.25
2024-07-10,130.57,57397.75
2024-07-11,135.86,57393.5
2024-07-12,139.68,59951.75
2024-07-15,161.13,63447.5
2024-07-16,166.43,65185.25
2024-07-17,159.0,64577.75
2024-07-18,155.52,63507.5
2024-07-19,177.85,67455.25
2024-07-22,180.01,68230.25
2024-07-23,172.18,65524.75
2024-07-24,167.27,65657.25
2024-07-25,160.65,64660.25
2024-07-26,175.27,68119.25
2024-07-29,168.48,67277.5
2024-07-30,160.41,65874.5
2024-07-31,161.44,65222.0
2024-08-01,151.18,63387.5
2024-08-02,144.8,59250.75
2024-08-05,130.9,53498.75
2024-08-06,136.92,56801.5
2024-08-07,124.68,54779.75
2024-08-08,135.99,59447.0
2024-08-09,135.37,59636.25
2024-08-12,131.46,59046.0
2024-08-13,135.38,60854.25
2024-08-14,130.37,58911.5
2024-08-15,131.93,57056.5
2024-08-16,133.04,59697.0
2024-08-19,135.35,58978.25
2024-08-20,133.69,59496.0
2024-08-21,141.42,61596.0
2024-08-22,133.81,60286.5
2024-08-23,150.01,64208.75
2024-08-26,146.9,63349.5
2024-08-27,140.01,62114.25
2024-08-28,132.09,58847.0
2024-08-29,132.56,59264.75
2024-08-30,132.42,58523.5
2024-09-03,122.32,58002.25
2024-09-04,124.85,58042.0
2024-09-05,119.57,56048.0
2024-09-06,114.3,54354.0
2024-09-09,124.82,57125.5
2024-09-10,129.64,57973.75
2024-09-11,129.28,57623.5
2024-09-12,130.77,58383.0
2024-09-13,141.47,59883.0
2024-09-16,134.53,57920.0
2024-09-17,131.27,59974.75
2024-09-18,132.67,60055.5
2024-09-19,144.66,63272.5
2024-09-20,144.78,63153.0
2024-09-23,149.97,63303.75
2024-09-24,153.88,64338.25
2024-09-25,151.94,63166.5
2024-09-26,165.98,64713.75
2024-09-27,176.22,65970.75
2024-09-30,168.6,63432.5
2024-10-01,162.69,61727.75
2024-10-02,164.64,60184.0
2024-10-03,163.41,61024.25
2024-10-04,176.51,62656.0
2024-10-07,186.09,63346.25
2024-10-08,192.2,62219.0
2024-10-09,188.91,60973.5
2024-10-10,183.34,59666.75
2024-10-11,212.59,62705.75
2024-10-14,201.67,65915.5
2024-10-15,194.31,66951.5
2024-10-16,194.09,67733.75
2024-10-17,193.42,66811.75
2024-10-18,215.86,68498.0
2024-10-21,219.05,67758.5
2024-10-22,219.7,67439.75
2024-10-23,213.95,66386.0
2024-10-24,235.89,68230.0
2024-10-25,234.34,67743.0
2024-10-28,255.34,69552.0
2024-10-29,258.24,72501.0
2024-10-30,247.31,71816.0
2024-10-31,244.5,69962.0
2024-11-01,229.71,68938.25
2024-11-04,222.99,67300.0
2024-11-05,227.8,69453.0
2024-11-06,257.81,76199.25
2024-11-07,270.81,76574.25
